u,y,fs
4.95,3.240469208,
4.95,3.905180841,
4.95,4.100684262,
4.95,4.173998045,
4.95,4.173998045,
4.95,4.17888563,
4.95,4.169110459,
0,4.17888563,
0,3.817204301,
0,3.128054741,
4.95,2.502443793,
4.95,2.893450635,
4.95,3.910068426,
4.95,4.130009775,
4.95,4.17888563,
4.95,4.203323558,
0,4.173998045,
0,3.875855327,
4.95,3.245356794,
0,3.548387097,
0,3.514173998,
4.95,3.044965787,
4.95,3.235581623,
4.95,3.954056696,
4.95,4.120234604,
0,4.183773216,
0,3.929618768,
0,3.245356794,
4.95,2.7028348,
0,2.917888563,
0,3.269794721,
0,2.697947214,
4.95,2.145650049,
4.95,2.492668622,
0,3.597262952,
0,3.553274682,
4.95,2.971652004,
0,3.176930596,
4.95,3.440860215,
0,3.57771261,
4.95,3.553274682,
0,3.631476051,
0,3.636363636,
0,3.035190616,
0,2.468230694,
0,1.955034213,
4.95,1.559139785,
4.95,1.959921799,
4.95,3.137829912,
4.95,3.934506354,
4.95,4.154447703,
0,4.193548387,
4.95,3.900293255,
4.95,3.831867058,
4.95,4.144672532,
0,4.183773216,
0,3.939393939,
4.95,3.421309873,
4.95,3.616813294,
4.95,4.066471163,
0,4.173998045,
4.95,3.944281525,
0,3.939393939,
4.95,3.729227761,
0,3.753665689,
0,3.616813294,
0,3.064516129,
0,2.517106549,
4.95,2.126099707,
0,2.531769306,
4.95,3.279569892,
4.95,3.440860215,
4.95,4.051808407,
4.95,4.154447703,
0,4.198435973,
4.95,3.958944282,
4.95,3.929618768,
0,4.115347019,
4.95,3.900293255,
4.95,3.939393939,
0,4.139784946,
4.95,3.802541544,
4.95,3.841642229,
0,4.115347019,
4.95,3.870967742,
0,3.80742913,
0,3.743890518,
4.95,3.157380254,
0,3.367546432,
0,3.53372434,
4.95,3.049853372,
0,3.406647116,
0,3.450635386,
4.95,3.015640274,
4.95,3.235581623,
0,4.022482893,
0,3.729227761,
4.95,3.201368524,
0,3.475073314,
0,3.572825024,
4.95,3.049853372,
0,3.206256109,
0,3.323558162,
0,2.727272727,
0,2.15542522,
0,1.705767351,
0,1.168132942,
4.95,0.6647116325,
0,1.412512219,
0,2.639296188,
4.95,1.979472141,
0,2.34115347,
4.95,3.044965787,
4.95,3.504398827,
4.95,4.08113392,
4.95,4.169110459,
0,4.227761486,
4.95,3.914956012,
0,3.861192571,
0,3.734115347,
4.95,3.167155425,
4.95,3.284457478,
0,4.022482893,
4.95,3.787878788,
4.95,3.841642229,
0,4.130009775,
4.95,3.890518084,
4.95,3.841642229,
0,4.095796676,
0,3.934506354,
0,3.455522972,
0,2.84457478,
4.95,2.306940371,
0,2.717497556,
0,3.299120235,
4.95,2.75659824,
0,2.996089932,
0,3.411534702,
0,2.766373412,
4.95,2.262952102,
4.95,2.609970674,
0,3.558162268,
4.95,3.563049853,
0,3.704789834,
0,3.690127077,
4.95,3.113391984,
0,3.216031281,
4.95,3.450635386,
0,3.631476051,
0,3.572825024,
0,2.956989247,
4.95,2.414467253,
4.95,2.678396872,
0,3.929618768,
0,3.680351906,
4.95,3.0742913,
4.95,3.421309873,
4.95,4.046920821,
0,4.173998045,
4.95,3.841642229,
0,3.880742913,
0,3.748778104,
0,3.294232649,
0,2.771260997,
0,2.331378299,
0,1.798631476,
4.95,1.344086022,
0,1.847507331,
4.95,2.966764418,
4.95,3.11827957,
0,3.963831867,
4.95,3.778103617,
4.95,3.787878788,
4.95,4.046920821,
4.95,4.164222874,
0,4.217986315,
4.95,3.924731183,
4.95,3.870967742,
0,4.130009775,
0,3.866080156,
4.95,3.318670577,
0,3.440860215,
4.95,3.558162268,
4.95,3.709677419,
0,4.100684262,
4.95,3.841642229,
0,3.856304985,
0,3.768328446,
0,3.240469208,
0,2.7028348,
4.95,2.248289345,
4.95,2.7028348,
0,3.817204301,
0,3.62170088,
4.95,3.093841642,
4.95,3.308895406,
0,3.988269795,
4.95,3.782991202,
4.95,3.773216031,
0,4.076246334,
0,3.890518084,
0,3.318670577,
0,2.683284457,
0,2.189638319,
0,1.803519062,
0,1.368523949,
4.95,0.9237536657,
0,1.520039101,
0,2.639296188,
0,2.15542522,
4.95,1.681329423,
4.95,2.292277615,
4.95,3.318670577,
4.95,3.973607038,
4.95,4.164222874,
0,4.203323558,
